id,category,requirement,source,evidence,rendered_evidence,status,severity,correction,dependency
MC-03,Media,Do not use informal phone recording as main talk.,Transcript 154-162; Register 8,Current TEDx video ID is different from the supplied audio recording; source claims official. Exact provenance remains unverified.,Not independently rendered in this audit,Waiting on Dr. Haddad,High,Confirm provenance; keep pending until approved.,None
MC-04,Media,Podcast/Spotify can be added later without redesign.,Transcript 182; Register 8,"Media page has reusable video block, but a specific YouTube conversation is already published in config without owner approval record.",Not independently rendered in this audit,Partial,Medium,Move all media items into status-gated registry; keep unapproved entries unpublished.,None
MC-05,Media,"Every media item needs verified URL, date, platform, thumbnail/right-to-use status.",Register 8,Hardcoded items include title/platform but no dates/rights status model.,Not independently rendered in this audit,Missing,High,Implement a typed media registry and publication preflight.,None
MC-06,Media,NBC/news and other appearances included when provided.,Transcript 178-182; Register 8,Not present.,Not independently rendered in this audit,Waiting on Dr. Haddad,Medium,"Request links, dates, thumbnails, rights.",None
MC-07,Media,"Press kit with biography, topics, facts, assets.",Register 8,Press kit exists and labels asset limitations.,Not independently rendered in this audit,Exact match,Low,No change.,None
MC-08,Community,Newsletter signup and Learn/Reduce/Share/Advocate.,Transcript 457-470; Register 8,All present.,Not independently rendered in this audit,Exact match,Low,No change.,None
MC-09,Community,"Keep field-notes proposition human, useful, not wordy.",Register 8,"Home/community copy is concise; “Signal, without the noise” and meta-promises add some editorial framing.",Not independently rendered in this audit,Substantially aligned,Medium,Trim any meta-copy that repeats evidence-honesty promises.,None
MC-10,Community,Newsletter provider/account must be truly configured before described as live.,Transcript 461-468; Register 8,"Resend/D1 outbox infrastructure exists; Mailchimp audience is not configured. Signup UI appears operational, but provider activation is pending.",Not independently rendered in this audit,Waiting on external provider,Blocker,"Choose/approve provider, sender domain, audience/contact model, double opt-in strategy, and run test deliveries.",None
MC-11,Community,Mailchimp plug-in infrastructure requested by Dr. Haddad.,Transcript 461-468; Register 8 Asset,"Current architecture uses Resend contacts/email, not Mailchimp; no explicit owner decision authorizing the change is recorded.",Not independently rendered in this audit,Contradicted,High,Present Mailchimp vs Resend architecture decision to owner; either integrate Mailchimp audience or document approved replacement.,Dr. Haddad
MC-12,Contact,Lead with Ask a question.,Transcript 195-198; Register 9,Exact heading.,Not independently rendered in this audit,Exact match,Low,No change.,None
MC-13,Contact,Five inquiry categories.,Register 9,All five present in copy/form.,Not independently rendered in this audit,Exact match,Low,No change.,None
MC-14,Contact,Medical disclaimer must not dominate.,Transcript 197-198; Register 9,Small note below form.,Not independently rendered in this audit,Exact match,Low,No change.,None
MC-15,Contact,Route inquiries to correct inbox/category.,Register 2/9,Category captured and durable outbox exists; real routing/delivery not provider-tested.,Not independently rendered in this audit,Waiting on external provider,High,Configure support recipients and test each category end to end.,None
OP-01,Legal,"Privacy policy matches actual analytics, email, checkout, data.",Register 9,"Detailed policies and consent controls exist; production providers/modes are not active, so final match is pending.",Not independently rendered in this audit,Partial,High,Reconcile policy immediately before activation and launch.,None
OP-02,Legal,Digital sales final; genuine technical access problems receive support.,Transcript 473-478; Register 9,Refund and book copy state this.,Not independently rendered in this audit,Exact match,Low,No change.,None
OP-03,Legal,Affiliate disclosure near links and dedicated page.,Register 9,Infrastructure supports near-link disclosure and policy page. No products are live.,Not independently rendered in this audit,Exact match,Low,No change.,None
OP-04,Affiliate,Do not publish empty shelves or invented recommendations.,Register 9,Products array empty; page shows review framework/empty state instead of fake products.,Not independently rendered in this audit,Substantially aligned,Medium,Consider hiding “Recommended Products” from mobile primary navigation until first products are approved.,None
OP-05,Affiliate,Merchant/product registry with required fields.,Register 9,Typed JSON/catalog and preflight exist.,Not independently rendered in this audit,Exact match,Low,No change.,None
OP-06,Affiliate,"Initial categories: clothing, kitchen, water filtration, skincare/cosmetics, household.",Transcript 241-250; Register 9,"Water, kitchen, home, textiles, personal care categories exist.",Not independently rendered in this audit,Exact match,Low,No change.,None
OP-07,Affiliate,Affiliate disclosure uses movement identity.,Register 1/9,affiliate-products.json says “Homo Plasticus may earn a commission.”,Not independently rendered in this audit,Contradicted,High,Change default disclosure to Say No to Plastic before any product can publish.,None
OP-08,SEO,"Sitemap, robots, canonical, Organization/Person/Book/Article schema.",Register 10,All exist.,Not independently rendered in this audit,Substantially aligned,High,Correct canonical domain and validate rich results/Search Console.,External provider
OP-09,SEO,No accidental noindex and indexable guide pages.,Register 10,Robots/meta indicate index/follow; routes exist.,Not independently rendered in this audit,Substantially aligned,Medium,Verify deployed headers and Search Console.,None
OP-10,Analytics,"Privacy-aware events for science, book, checkout, order, signup, media, guide, affiliate.",Register 10,Consent-aware event endpoint and tracked links exist; live analytics platform verification is absent.,Not independently rendered in this audit,Waiting on external provider,High,Configure provider and verify event matrix without health/payment data.,None
OP-11,Content engine,"Nontechnical owner can add studies, guides, media, field notes, products without breaking site.",Register 10,Guides/evidence/products are structured code/JSON; media is partly hardcoded; no owner UI/CMS.,Not independently rendered in this audit,Partial,Medium,Standardize all content registries and write owner editing templates; CMS only if justified.,None
OP-12,Performance,"Split heavy visuals, optimized media, fallbacks, slow-mobile tests.",Register 10,Dynamic anatomy split/fallbacks exist; build reports >500k client chunk; no slow-network/LCP proof.,Not independently rendered in this audit,Partial,High,"Profile bundle, isolate 3D libraries further if measurable, optimize imagery, run mobile performance tests.",None
OP-13,Accessibility,"Keyboard, focus, semantic headings, forms, contrast, zoom, reduced motion.",Register 10,Source-level UI audits and accessibility patterns exist; 200% zoom/device/browser proof not completed.,Not independently rendered in this audit,Partial,High,Run manual browser QA at all required viewports and assistive settings.,None
OP-14,Operations,Newsletter/contact/commerce intent should survive provider failure.,Later operational requirements,"D1 outbox, leases, idempotency, retry ceiling, readiness/drain are implemented.",Not independently rendered in this audit,Exact match,Low,Run non-production lifecycle tests.,External provider
OP-15,Operations,Production activation and monitoring remain parked until accounts/assets approved.,Later explicit decision,Mode remains WooCommerce; provider inputs absent; docs park activation.,Not independently rendered in this audit,Exact match,Low,No change.,None
OP-16,Operations,D1 migrations verified in isolated environment before activation.,Operations gate,Migration 0005 exists; connected builder could not apply local migration.,Not independently rendered in this audit,Waiting on external provider,Blocker,"Apply all migrations to a disposable preview D1 database, inspect schema/indexes, then run lifecycle tests.",None
OP-17,Operations,"Final ebook, welcome video, media links, affiliates, domain, sender ownership remain visible open items.",Register 11-13,PARKED_OWNER_ACTIONS documents them.,Not independently rendered in this audit,Exact match,Low,Keep file updated.,None
CF-01,Source conflict,Older blueprint placed a full TEDx section and hero TEDx CTA on Home.,"Blueprint Ch.2 sections 1 and 7 vs transcript 165-182, 297-302 and later decision",Current site keeps TEDx under Media only.,Not independently rendered in this audit,Superseded by later explicit decision,Low,Document conflict; do not reintroduce homepage TEDx.,None
CF-02,Source conflict,Older blueprint hero headline “The greatest pollution crisis…” vs transcript shorter premise.,Blueprint Ch.2 Hero vs transcript 2-10,Current uses transcript/register premise.,Not independently rendered in this audit,Superseded by later explicit decision,Low,Keep current premise.,None
CF-03,Source conflict,Older blueprint requires Inter + Cormorant/DM Serif; current code uses Arial + Georgia/Palatino.,Blueprint Ch.1 Typography,Current visual system diverges.,Not independently rendered in this audit,Contradicted,High,Treat blueprint typography as active unless a later approved design decision replaces it; build licensed font strategy.,None
CF-04,Source conflict,Education timeline conflict: transcript/register Jackson vs current official-profile Drexel.,Transcript 448-456; Register 7; current code,Prior audit silently chose Drexel; raw transcript now proves conflict.,Not independently rendered in this audit,Contradicted,Blocker,Obtain owner confirmation and log resolution; do not publish either as final until confirmed.,Dr. Haddad
