id,category,requirement,source,v38_evidence,bucket,subtype,severity,remaining_action,blocked_by,prior_v37_2_status
BK-06,Book,Reduced-motion stable alternative.,Register 6,Reduced summary exists.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Browser test with reduced motion.,None,Substantially aligned
BK-07,Book,"FAQ covers digital format, audience, medical boundary, delivery, support, final sale.",Transcript 425-428; Register 6,All topics present.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
BK-08,Book,Buyer gets download on confirmation and email; recovery/support path.,Transcript 384-403; Register 6 Commerce,Native infrastructure supports success/access/recovery; WooCommerce production route is still external and actual fulfillment is unverified.,3 — Blocked on owner/provider/source input,External account/provider/domain proof required,Blocker,Test real WooCommerce/native preview flows and confirm download availability beyond email-only access.,External account / provider / domain,Waiting on external provider
BK-09,Book,Preserve WooCommerce unless explicit platform replacement.,Register 6 Commerce; later user decision,COMMERCE_MODE defaults to WooCommerce; native Stripe is parked.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
BK-10,Book,Native checkout infrastructure connected but inactive until approval.,Transcript 391-403; later user decision,Stripe/D1/R2/Resend infrastructure exists behind mode switch and preview.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
BK-11,Book,"Final price, publication metadata, file, tax/territory require owner approval.",Register 6 Inputs,Price is 9.97; publication date/page count/ISBN/preview are pending; final PDF absent.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Blocker,Obtain and insert approved product inputs; run preflight.,Dr. Haddad / authorized owner,Waiting on Dr. Haddad
BK-12,Book,Do not collect cards in application.,Register 6 Commerce,Checkout is provider-hosted.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-01,About,Hero: Meet the Physician Behind the Movement.,Register 7,Exact wording appears.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-02,About,Use supplied personal narrative as primary source.,Transcript 123-143; Register 7,"The current About page contains a detailed narrative arc, but the Master Delivery Register says supplied Chapter 3 Parts I and II are the primary source of truth. Those source files are not preserved in the v38 source set, so exact alignment cannot be independently proven from this package.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Medium,"Recover the supplied Chapter 3 Part I/II biography source from the old Work chat or Dr. Haddad, then compare the About page line by line before signoff.",Dr. Haddad / authorized owner,Substantially aligned
AB-03,About,Narrative arc: cardiology → environmental inquiry → public education.,Register 7,Arc is explicit.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-04,About,"Philosophy includes science before sensation, curiosity, progress, future generations, causes/prevention, hope.",Register 7,All six principles appear.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-05,About,Credentials section should be titled Education; remove “Training built for complexity.”,Transcript 442-450; Register 7,Section is titled Education; rejected phrase absent.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-06,About,Approved education timeline: St. George’s; Jackson Memorial/Health; cardiovascular; electrophysiology; current work after confirmation.,Transcript 448-456; Register 7,v40.6 follows the higher-authority transcript/Register for public display: St. George’s and Jackson Memorial / Jackson Health are shown; fellowship institutions/dates are not invented; the older Drexel conflict remains recorded internally.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Blocker,Dr. Haddad confirms the exact education/career chronology and dates for final provenance; do not reintroduce public workflow-warning language unless requested.,Dr. Haddad / authorized owner,Contradicted
AB-07,About,Current professional work only after confirmation.,Register 7,Current-work details are intentionally not expanded into unverified institutions/titles.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Dr. Haddad confirms approved current professional wording and dates.,Dr. Haddad / authorized owner,Partial
AB-08,About,"Use real approved photographs: portrait, TEDx, reflective nature, workspace; family only with permission.",Register 7,Only portrait/TEDx assets are present; nature/workspace/family assets are absent.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Collect final approved photo set and rights.,Dr. Haddad / authorized owner,Waiting on Dr. Haddad
AB-09,About,Portrait should be natural/recognizable; blueprint preferred no white coat/stethoscope.,Blueprint Ch.2 6.3; Register 7,About hero uses a real-looking white-coat profile image; homepage uses scrubs portrait.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Medium,Confirm whether white-coat image is approved; otherwise replace with final professional dark-shirt/scrubs portrait.,Dr. Haddad / authorized owner,Partial
AB-10,About,Include Explore the Science and Join the Movement actions.,Register 7,Both CTAs appear.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-11,About,Do not position collaborator as movement participant.,Transcript 421-424,About page does not mention collaborator.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AB-12,About,Avoid generic AI credential framing.,Transcript 442-448; Register 7,"The specifically rejected “Training built for complexity” framing is gone, but the Register says the About page should use supplied Chapter 3 Parts I/II as its primary source. Those files are absent from v38, so a full generic-AI-framing comparison cannot be independently completed.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Low,"Recover Chapter 3 Parts I/II, then perform a line-by-line About copy provenance/tone pass before signoff.",Dr. Haddad / authorized owner,Substantially aligned
MC-01,Media,"Events & Media supports TEDx, news, interviews, podcasts, panels, events.",Transcript 169-182; Register 8,"Page structure supports talk, conversation, press kit, inquiries; no structured inventory for news/panels/events.",1 — Done and proven,Source/structure proven,High,None beyond regression protection.,None,Partial
MC-02,Media,"When the official TEDx video arrives, it must replace the interim recording and only the verified official release may be labeled official.",Transcript 147-160; Register 8; later explicit user decision 2026-08-07,v40.7 publishes the preserved audience-recorded YouTube link only as a clearly labeled temporary recording; the official TEDx release remains the required replacement.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Blocker,Render/test the temporary player and status copy now; replace the exact URL/status with the official TEDx release when Dr. Haddad provides it.,None for interim link; official release still pending,Superseded in part by later explicit user decision
MC-03,Media,Later explicit user authorization permits the informal phone recording as a temporary TEDx link only; it must never be presented as the official release.,Transcript 147-160; later explicit user decision 2026-08-07,"v40.7 records publicationApproval=user_authorized, ownerApproved=false, temporary=true, and replacementRequired=true for the exact preserved YouTube ID MVnY2vw99SY.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Verify the public page visibly says temporary and the official release can replace the registry entry without redesign.,None for interim link,Superseded in part by later explicit user decision
MC-04,Media,Podcast/Spotify can be added later without redesign.,Transcript 182; Register 8,Media uses a typed approval-aware registry supporting talk/interview/podcast/news/panel/event entries without redesign.,1 — Done and proven,Source/structure proven,Medium,None.,None,Partial
MC-05,Media,"Every media item needs verified URL, date, platform, thumbnail/right-to-use status.",Register 8,v40.7 records exact current URLs/platform/thumbnail-rights status for TEDx and the long conversation without inventing publication dates. Both dates remain explicitly pending verification.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Verify exact publication dates and final reuse/thumbnail-rights status for the two current videos; keep the registry dateStatus explicit until then.,Media source metadata / rights confirmation,Missing
MC-06,Media,NBC/news and other appearances included when provided.,Transcript 178-182; Register 8,Not present.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Medium,"Request links, dates, thumbnails, rights.",Dr. Haddad / authorized owner,Waiting on Dr. Haddad
MC-07,Media,"Press kit with biography, topics, facts, assets.",Register 8,Press kit exists and labels asset limitations.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
MC-08,Community,Newsletter signup and Learn/Reduce/Share/Advocate.,Transcript 457-470; Register 8,All present.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
MC-09,Community,"Keep field-notes proposition human, useful, not wordy.",Register 8,"v39 trims evidence-honesty/anti-fear meta framing from Community, footer field notes, and media topics; the proposition now states the utility directly.",1 — Done and proven,Source/structure proven,Medium,Protect concise field-notes/community copy from generic editorial filler.,None,Substantially aligned
MC-10,Community,Newsletter provider/account must be truly configured before described as live.,Transcript 461-468; Register 8,"Resend/D1 outbox infrastructure exists; Mailchimp audience is not configured. Signup UI appears operational, but provider activation is pending.",3 — Blocked on owner/provider/source input,External account/provider/domain proof required,Blocker,"Choose/approve provider, sender domain, audience/contact model, double opt-in strategy, and run test deliveries.",External account / provider / domain,Waiting on external provider
MC-11,Community,Mailchimp plug-in infrastructure requested by Dr. Haddad.,Transcript 461-468; Register 8 Asset,v38 separates transactional email from the marketing audience and ships explicit Mailchimp and Resend audience adapters with AUDIENCE_PROVIDER=none by default.,1 — Done and proven,Source/structure proven,High,Owner chooses the marketing audience provider and policy before activation.,None,Contradicted
MC-12,Contact,Lead with Ask a question.,Transcript 195-198; Register 9,Exact heading.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
MC-13,Contact,Five inquiry categories.,Register 9,All five present in copy/form.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
MC-14,Contact,Medical disclaimer must not dominate.,Transcript 197-198; Register 9,Small note below form.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
MC-15,Contact,Route inquiries to correct inbox/category.,"Transcript 183-198, 481-486; Register 9 Contact",Category captured and durable outbox exists; real routing/delivery not provider-tested.,3 — Blocked on owner/provider/source input,External account/provider/domain proof required,High,Configure support recipients and test each category end to end.,External account / provider / domain,Waiting on external provider
OP-01,Legal,"Privacy policy matches actual analytics, email, checkout, data.",Register 9,"Detailed policies and consent controls exist; production providers/modes are not active, so final match is pending.",3 — Blocked on owner/provider/source input,External account/provider/domain proof required,High,Reconcile policy immediately before activation and launch.,External account / provider / domain,Partial
OP-02,Legal,Digital sales final; genuine technical access problems receive support.,Transcript 473-478; Register 9,Refund and book copy state this.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
OP-03,Legal,Affiliate disclosure near links and dedicated page.,Register 9,Infrastructure supports near-link disclosure and policy page. No products are live.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
OP-04,Affiliate,Do not publish empty shelves or invented recommendations.,Register 9,Products array empty; page shows review framework/empty state instead of fake products.,1 — Done and proven,Source/structure proven,Medium,None beyond regression protection.,None,Substantially aligned
OP-05,Affiliate,Merchant/product registry with required fields.,Register 9,Typed JSON/catalog and preflight exist.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
OP-06,Affiliate,"Initial categories: clothing, kitchen, water filtration, skincare/cosmetics, household.",Transcript 241-250; Register 9,"Water, kitchen, home, textiles, personal care categories exist.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
OP-07,Affiliate,Affiliate disclosure uses movement identity.,Register 1/9,Affiliate disclosure now identifies Say No to Plastic as the commission recipient/movement identity.,1 — Done and proven,Source/structure proven,High,None.,None,Contradicted
OP-08,SEO,"Sitemap, robots, canonical, Organization/Person/Book/Article schema.",Register 10,All exist.,3 — Blocked on owner/provider/source input,External account/provider/domain proof required,High,Correct canonical domain and validate rich results/Search Console.,External account / provider / domain,Substantially aligned
OP-09,SEO,No accidental noindex and indexable guide pages.,Register 10,Robots/meta indicate index/follow; routes exist.,1 — Done and proven,Source/structure proven,Medium,None beyond regression protection.,None,Substantially aligned
OP-10,Analytics,"Privacy-aware events for science, book, checkout, order, signup, media, guide, affiliate.",Register 10,Consent-aware event endpoint and tracked links exist; live analytics platform verification is absent.,3 — Blocked on owner/provider/source input,External account/provider/domain proof required,High,Configure provider and verify event matrix without health/payment data.,External account / provider / domain,Waiting on external provider
OP-11,Content engine,"Nontechnical owner can add studies, guides, media, field notes, products without breaking site.",Register 10,"v39 adds four nontechnical JSON intake templates, a content operations runbook, safe publication defaults, and a dependency-free content:preflight gate. Existing media/affiliate publication gates are also audited.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Run one usability handoff with a nontechnical owner/editor and confirm they can complete each intake template without developer interpretation; keep publication behind review/build gates.,None,Partial
OP-12,Performance,"Split heavy visuals, optimized media, fallbacks, slow-mobile tests.",Register 10,Dynamic anatomy split/fallbacks exist; build reports >500k client chunk; no slow-network/LCP proof.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"The 3D anatomy module is already dynamically split and fallbacks exist. Use the real Sites production build to profile the oversized chunk, image weights, LCP/CLS, and slow-mobile behavior before deciding whether further code splitting is necessary.",None,Partial
OP-13,Accessibility,"Keyboard, focus, semantic headings, forms, contrast, 200% zoom/reflow, reduced motion, and exact responsive viewport checks including 1440, 1366, 1280, 1024, 768, 430, 390, 375, 360, and 320 widths.","Register 10; Blueprint Ch.1 §§3,8; Blueprint Ch.2 §§12-13",Source-level UI audits and accessibility patterns exist; the exact browser/device/zoom matrix is not yet completed.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Run manual browser QA at the full viewport matrix, 200% zoom, keyboard-only, reduced-motion, and no-WebGL states; record screenshots and defects.",None,Partial
OP-14,Operations,Newsletter/contact/commerce intent should survive provider failure.,Later operational requirements,"D1 outbox, leases, idempotency, retry ceiling, readiness/drain are implemented.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
OP-15,Operations,Production activation and monitoring remain parked until accounts/assets approved.,Later explicit decision,Mode remains WooCommerce; provider inputs absent; docs park activation.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
OP-16,Operations,D1 migrations verified in isolated environment before activation.,Operations gate,All six migrations 0000–0005 were applied to an isolated SQLite database during this completion audit; integrity_check returned ok and required tables/indexes exist.,1 — Done and proven,Source/structure proven,Blocker,Do not apply to production until the deployment/account gate.,None,Waiting on external provider
OP-17,Operations,"Final ebook, welcome video, media links, affiliates, domain, sender ownership remain visible open items.",Transcript 432; Register 11-13,PARKED_OWNER_ACTIONS documents them.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
CF-01,Source conflict,Older blueprint placed a full TEDx section and hero TEDx CTA on Home.,"Blueprint Ch.2 sections 1 and 7 vs transcript 165-182, 297-302 and later decision",Current site keeps TEDx under Media only.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Superseded by later explicit decision
CF-02,Source conflict,Older blueprint hero headline “The greatest pollution crisis…” vs transcript shorter premise.,Blueprint Ch.2 Hero vs transcript 2-10,Current uses transcript/register premise.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Superseded by later explicit decision
CF-03,Source conflict,Older blueprint requires Inter + Cormorant/DM Serif; current code uses Arial + Georgia/Palatino.,Blueprint Ch.1 Typography,"v39 defines an Inter/Cormorant/DM-Serif-ready typography stack with system fallbacks and a matching wordmark candidate, without introducing a third-party font fetch. The final signature typeface is not owner-approved.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,"Approve the final signature/body/display typeface and licensing/hosting approach, then visually sign off the wordmark/typography system.",Dr. Haddad / authorized owner,Contradicted
CF-04,Source conflict,Education timeline conflict: transcript/register Jackson vs current official-profile Drexel.,Transcript 448-456; Register 7; current code,"v40.6 no longer exposes the source conflict as a public warning. The About page follows the higher-authority transcript/Register for current display, while the Drexel-versus-Jackson conflict remains recorded internally.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Blocker,Dr. Haddad resolves the chronology/source conflict in writing for final provenance and dates.,Dr. Haddad / authorized owner,Contradicted
DS-01,Design system,"Use the approved global geometry: 1240px max content width, 12/8/4-column desktop/tablet/mobile grid logic, deliberate side padding, intentional breakpoint compositions, body text never below 16px, and 48px minimum touch targets.","Blueprint Ch.1 §§2-4; Ch.2 §§10,12","v39.1 defines blueprint-aligned color/spacing/content-width tokens and responsive overrides, but source code alone cannot prove every composition follows the intended grid and density.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Render and measure the major routes at all required widths; fix any section that stretches, crowds, scales automatically, drops below 16px body text, or creates sub-48px tap targets.",None,Not previously tracked
DS-02,Design system,"Header is sticky/overlaid on the hero, visually transparent at the top, then becomes about 92% Midnight Navy with a low-opacity bottom border after roughly 40-60px of scroll.",Blueprint Ch.1 §5,"Header state is driven by window.scrollY > 48; v39.1 CSS uses transparent-gradient top state and rgba(9,18,31,.92) scrolled state with a 1px border.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Browser-test top/scrolled transitions, sticky behavior, anchor offsets, and contrast on Home and inner routes.",None,Not previously tracked
DS-03,Design system,"Mobile navigation uses an intentional full-height navy panel with large 28-34px links, one filled gold primary CTA, background scroll lock, keyboard focus trapping, Escape close, and focus return.",Blueprint Ch.1 §5; Ch.2 accessibility checklist,"SiteChrome implements scroll lock, focus trap, Escape/focus return, inert background, large mobile links, and a single gold checkout control.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Test keyboard, touch, screen-size, welcome-modal interaction, focus return, and scroll lock on real mobile/tablet viewports.",None,Not previously tracked
DS-04,Design system,Major editorial images use intentional responsive crops/variants; important copy and controls remain live; below-fold media is lazy where appropriate; hero media loads eagerly and no essential face/fetus/organ/book/CTA is cropped.,"Blueprint Ch.1 §6; Ch.2 §§1.8,12,14","v39.1 adds dedicated desktop/mobile derivatives for the approved hero, kitchen, and generations visuals and keeps controls/copy live; other imagery has explicit dimensions/fallbacks but still needs rendered crop/performance proof.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Verify responsive crops, eager/lazy behavior, image dimensions/layout shift, and preservation of all essential subjects across the exact viewport matrix.",None,Not previously tracked
DS-05,Design system,"Motion stays restrained: grouped opacity/translate or tiny image scale only; no bounce, spinning, rapid parallax, or line-by-line spectacle; reduced-motion shows the final stable state immediately.","Blueprint Ch.1 §7; Ch.2 §§1.7,13",Existing motion/reduced-motion source rails and anatomy static fallback implement the intended pattern; source audits cannot prove subjective pacing.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Review animation pacing on desktop/mobile and reduced-motion; remove any effect that competes with reading or feels theatrical rather than editorial.,None,Not previously tracked
DS-06,Design system,"Footer and mobile legal/navigation content remain legible: legal text at least 14px, touch targets about 48px, and Contact/Newsletter remain discoverable.",Blueprint Ch.2 §9.6; Register 9,v39.1 CSS raises footer-bottom text to 14px and gives footer links/buttons 48px minimum height; footer retains Contact and signup.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Verify footer density, wrapping, touch targets, and readability at 320-430px and 200% zoom.",None,Not previously tracked
HV-01,Visual asset,"Use the approved maternal/fetal hero artwork with mother, fetus, placenta, hands/face and dark negative space preserved; essential UI remains live rather than baked into the image.",Blueprint Ch.2 §1; transcript later keeps intro/video separate,"v40 keeps the approved mother/fetus/placenta hero art but changes presentation after local review: the image fills the vertical hero stage, uses cover positioning, and fades into the black background rather than ending as a visible rectangle.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Render desktop/tablet/mobile v40 hero; confirm the hard rectangular edge is gone, mother/fetus/placenta remain legible, copy uses negative space, and no key subject is cropped.",None,Not previously tracked
HV-02,Visual asset,"Use the approved lower-plastic kitchen visual with a visible stainless reverse-osmosis unit, glass storage, stainless drinkware, wood, and cast iron; because the transcript says Home should stay brief, place the detailed visual in Solutions rather than re-bloating Home.","Transcript 108-117, 218-238; Blueprint Ch.2 §4; Register 5",v39.1 puts the approved kitchen visual on Solutions with desktop/mobile crops and live explanatory text; the transcript-priority conflict is resolved in favor of a brief Home action preview.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Render Solutions across breakpoints and confirm the RO unit and material cues remain visible and the image helps rather than overwhelms the direct action copy.,None,Not previously tracked
HV-03,Visual asset,"The Join/Community generational visual shows an elderly woman, an adult woman, and a young boy on the dedicated Community experience; the boy must remain visible on mobile and embedded artwork text/buttons must not replace live form content. The latest local homepage review explicitly removes the giant generational image from Home.",Transcript 457-470; Blueprint Ch.2 §8; Register 8; user local review 2026-08-07,v40.8 replaces the cropped generations derivative with the complete 1024×1536 poster from the authoritative Chapter 2 blueprint plus a full-frame mobile derivative; /community uses eager contain rendering and caps desktop height while Home intentionally omits the giant panel.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Render /community at desktop/tablet/mobile; verify the full trio remains visible without an awkwardly oversized composition or misleading embedded graphic text.,None,Not previously tracked
HV-04,Visual asset,"Keep the live “greatest inheritance” quote in the lower footer zone on a calm flat dark field. The earlier Earth-at-night photo treatment is superseded by the later rendered review; if any Earth reference remains, it should be only a very faint abstract curve that never competes with the quote.",Transcript 303-308; Blueprint Ch.2 §9; Register 3 lower-site quote; later rendered user reviews 2026-08-07 (Science and Solutions),"v40.3 removes the Earth photo from the live footer, keeps the quote as live text, and uses a flat dark field with a faint CSS Earth-curve treatment. The original Earth asset remains preserved in source provenance.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Render footer desktop/mobile/200% zoom; confirm the field reads flat and calm, the faint curve is not distracting, and quote/navigation contrast remains strong.",None,Superseded visual treatment; quote requirement preserved
AS-01,Asset inventory,Preserve the planned professional sculpture photography as a possible authored visual/media asset; do not invent or substitute it if the photos have not been supplied.,Transcript 206-210; Register 11 Sculpture photographs,The project record now explicitly tracks the sculpture-photo request; no final professional sculpture photographs are present in the source package.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Low,"When Dr. Haddad provides the professional sculpture photographs and rights, art-direct their use or explicitly decide they are not needed for launch.",Dr. Haddad / photographer,Not previously tracked
CF-05,Source conflict,"Preserve the About content Dr. Haddad said he liked together with its image, while honoring the later blueprint accessibility rule that important biography copy should be live text rather than flattened into an image.",Transcript 433-434; Blueprint Ch.1 §6 and Ch.2 §6; Register 7,"The current About page uses live biography content and portrait treatment, but the referenced Chapter 3 Parts I/II / exact approved composite content is not preserved in the available source package.",3 — Blocked on owner/provider/source input,Missing source/context required,High,"Recover the Chapter 3 Parts I/II / approved About source, then recreate the approved text-content relationship as accessible live content beside approved imagery rather than shipping a flattened text image.",Missing Chapter 3 / approved About source,Not previously tracked
MC-16,Community,A Linktree-style share/contact collection is optional and should exist only if it serves a real user purpose without duplicating primary navigation.,Transcript 469-471; Register 8 Community,"The current site provides direct Community, Contact, Media, Guides, and social/share paths without adding a redundant Linktree clone; the conditional idea is preserved in documentation.",1 — Done and proven,Source/structure proven,Low,No implementation required unless a concrete future share/contact use case emerges; reassess then rather than adding duplicate navigation.,None,Not previously tracked
CP-01,Copy governance,"Keep specifically rejected AI/meta phrasing out of public reading paths, including “caution can be practical without pretending…,” “build a common relationship with evolving science,” and major “do not turn caution into panic” framing. Do not incorrectly blacklist “small enough to begin, meaningful enough to repeat,” which Dr. Haddad accepted after clarification.",Transcript 345-379; Register Science/Solutions writing rules,The rejected phrases are absent from app source in v39.1; the accepted phrase is not treated as a prohibited regression rule.,1 — Done and proven,Source/structure proven,Medium,"Maintain the rejected-phrase regression audit; if the accepted phrase is reused, judge it in context rather than automatically deleting it.",None,Not previously tracked
LA-01,Launch review,"After the public-domain launch, Dr. Haddad wanted his own long-context ChatGPT Pro to review the live site for missing, redundant, or incorrect elements; its output becomes a tracked review batch rather than ad-hoc edits.",Transcript 514-520; Register Gate 5,The post-launch independent review is now preserved as an explicit launch-stage requirement.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Low,"After public launch and owner access, run Dr. Haddad’s independent review against the public domain and triage recommendations into a versioned change batch.",Dr. Haddad / public launch,Not previously tracked
MC-17,Community,"Newsletter activation requires a real audience-provider flow: Landing Page - Join Movement source attribution, provider/account decision, double-opt-in decision where appropriate, spam protection, correct welcome flow, and successful tests to at least two external email addresses.",Transcript 457-470; Blueprint Ch.2 §8.8; Register 8 Newsletter,"v39.1 has provider abstraction, consent storage, welcome/outbox infrastructure, and provider preflight; real provider/account delivery is intentionally inactive.",3 — Blocked on owner/provider/source input,External account/provider/domain proof required,High,"Choose/configure the marketing audience provider, set source tagging/double-opt-in/spam policy, authenticate sender/domain, and prove signup + welcome + unsubscribe using at least two external addresses.",Audience provider / DNS / owner,Not previously tracked
MC-18,Media,"When official video is published, use a lightweight poster first, no sound autoplay, accessible lightbox/dedicated route, captions/transcript when available, Escape close, and focus return.",Blueprint Ch.2 §7.5; Register 8 Events & Media,"Media infrastructure supports poster/metadata/pending publication, but the official TEDx video and transcript/caption assets are not yet approved/published.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Medium,"After owner confirms the official public video and rights, wire the accessible player/link behavior and test captions/transcript/Escape/focus return.",Official media asset / owner approval,Not previously tracked
QA-01,Quality assurance,"The final visual QA matrix includes 1440x900, 1366 laptop, 1280x800, 1024x768/landscape behavior, 768x1024 portrait, 430x932, 390x844, 375x667, 360 mobile, and 320 minimum width, plus 200% zoom and reduced motion.",Blueprint Ch.1 §3; Ch.2 §§12-14; Register Gate 2,"The QA runbook exists and v39.1 expands the required viewport list, but real rendered proof is pending the Sites/browser environment.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Blocker,Run and archive screenshots/results for the complete viewport/accessibility matrix; any overflow/crop/collision or hierarchy problem becomes a release-blocking defect until corrected.,None,Not previously tracked
AB-13,About,"Any About-page trust row using media, book, speaking, hospital, or TEDx marks must use only verified affiliations/rights and consistent restrained presentation.",Blueprint Ch.2 §6.5; Register 7 approved-photo/credential principle,The site does not fabricate an unverified logo trust row; media/press assets remain gated by verification and rights.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Low,Add a trust row only after Dr. Haddad confirms the affiliations/marks and usage rights; otherwise omit it.,Dr. Haddad / rights approval,Not previously tracked
CF-06,Source conflict,"The older blueprint’s static hero/evidence/TEDx-heavy nine-section Home architecture is superseded where it conflicts with later transcript/Register decisions: interactive anatomy remains the primary body story and TEDx belongs under Events & Media, not a large Home section.","Blueprint Ch.2 §§1-8 versus Transcript 140-182, 285-302; Register 2-3",Current Home keeps the interactive anatomy journey and a restrained Events & Media bridge; no large TEDx section is present. The approved maternal/fetal hero art is reused without restoring superseded TEDx/Home architecture.,1 — Done and proven,Source/structure proven,High,Preserve this authority rule in future redesigns; do not reintroduce the superseded large Home TEDx/static-evidence blueprint merely because it appears in an older document.,None,Not previously tracked
CF-07,Source conflict,The blueprint’s detailed kitchen “Where to Start” Home section is superseded in placement—not content—by Dr. Haddad’s later request to keep Home shorter and send detailed action guidance to Solutions.,"Blueprint Ch.2 §4 versus Transcript 108-117, 218-238; Register 3 Home action bridge",v39.1 keeps Home action guidance compact and places the approved kitchen/RO visual and detailed material guidance on Solutions.,1 — Done and proven,Source/structure proven,Medium,Keep detailed kitchen guidance in Solutions unless a later explicit owner decision reopens Home length/sequence.,None,Not previously tracked
CF-08,Source conflict,Home SEO should preserve the blueprint’s physician-led microplastics/human-health/practical-solutions search intent while later movement identity remains Say No to Plastic and TEDx-specific conversion is not forced into the hero.,Blueprint Ch.1 §9; later movement identity decisions,v39.1 restores the blueprint-aligned Home title/meta intent and adds a 1200x630 candidate social-share image using the approved hero artwork; final social-card visual polish still needs rendered review.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Inspect generated search/social metadata and social-card crop in a real preview; verify title/description are not overlong and the candidate social image is legible before production.,None,Not previously tracked
CF-09,Source conflict,"The meeting transcript and Master Delivery Register describe the newer European Heart Journal acute-heart-attack/coronary-blood study as 2025, but the verified primary publication used by the site is dated 2026; public evidence must follow the verified primary record while preserving the source conflict.",Transcript 36-46; Register §§3-4; Transcript Reconciliation Audit conflict log; app/content/evidence.ts,"The evidence record uses year 2026, journal European Heart Journal, DOI 10.1093/eurheartj/ehag447, and the primary Oxford Academic URL. The reconciliation audit explicitly records that the Register says 2025 while the primary publication is dated 2026.",1 — Done and proven,Source/structure proven,High,Preserve this conflict row and SC-04 as regression protection. Do not change the public year back to the meeting/Register wording unless the primary publication record itself changes or a documented correction is issued.,None,Not previously tracked
